#Number of Samples: 6
#Total Number of Reads: 639376
#G1_1	G1_1/G1_1_1_bracken_genuses.kraken2_report
#G2_1	G2_1/G2_1_1_bracken_genuses.kraken2_report
#G3_1	G3_1/G3_1_1_bracken_genuses.kraken2_report
#G4_1	G4_1/G4_1_1_bracken_genuses.kraken2_report
#G5_1	G5_1/G5_1_1_bracken_genuses.kraken2_report
#G6_1	G6_1/G6_1_1_bracken_genuses.kraken2_report
#perc	tot_all	tot_lvl	G1_1_all	G1_1_lvl	G2_1_all	G2_1_lvl	G3_1_all	G3_1_lvl	G4_1_all	G4_1_lvl	G5_1_all	G5_1_lvl	G6_1_all	G6_1_lvl	lvl_type	taxid	name
0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	U	0	unclassified
100.2793	641162	0	89637	0	120660	0	75277	0	133123	0	112072	0	110393	0	R	1	root
86.9180	555733	0	76222	0	86802	0	72374	0	126689	0	96053	0	97593	0	D	3	  Bacteria
38.7179	247553	0	19661	0	13027	0	44947	0	76347	0	42580	0	50991	0	P	2375	    Proteobacteria
30.3299	193922	0	9136	0	8025	0	33596	0	66074	0	30260	0	46831	0	C	3303	      Gammaproteobacteria
13.2560	84756	0	4082	0	1586	0	17167	0	29749	0	15242	0	16930	0	O	3709	        Pseudomonadales
12.1135	77451	0	3948	0	1058	0	12609	0	29257	0	14764	0	15815	0	F	3718	          Pseudomonadaceae
12.0658	77146	77146	3932	3932	1024	1024	12538	12538	29143	29143	14739	14739	15770	15770	G	3723	            Pseudomonas
0.0422	270	270	14	14	33	33	71	71	109	109	23	23	20	20	G	14683	            Thiopseudomonas
0.0048	31	31	0	0	1	1	0	0	4	4	2	2	24	24	G	3721	            Azotobacter
0.0002	1	1	1	1	0	0	0	0	0	0	0	0	0	0	G	14682	            Oblitimonas
0.4534	2899	0	120	0	160	0	997	0	408	0	386	0	828	0	F	3710	          Moraxellaceae
0.4309	2755	2755	40	40	158	158	988	988	396	396	364	364	809	809	G	3711	            Acinetobacter
0.0125	80	80	60	60	0	0	5	5	6	6	8	8	1	1	G	3716	            Psychrobacter
0.0055	35	35	18	18	0	0	0	0	3	3	1	1	13	13	G	3713	            Enhydrobacter
0.0023	15	15	0	0	1	1	0	0	2	2	10	10	2	2	G	3717	            uncultured
0.0005	3	3	0	0	0	0	1	1	0	0	1	1	1	1	G	3712	            Alkanindiges
0.0003	2	2	0	0	0	0	2	2	0	0	0	0	0	0	G	14680	            Fluviicoccus
0.0002	1	1	0	0	0	0	0	0	0	0	0	0	1	1	G	26804	            Paraperlucidibaca
0.0002	1	1	0	0	1	1	0	0	0	0	0	0	0	0	G	3714	            Moraxella
0.4517	2888	0	0	0	220	0	2273	0	63	0	62	0	270	0	F	50397	          Halomonadaceae
0.4493	2873	2873	0	0	219	219	2264	2264	63	63	60	60	267	267	G	50404	            Halomonas
0.0005	3	3	0	0	0	0	0	0	0	0	0	0	3	3	G	50411	            Marinospirillum
0.0005	3	3	0	0	0	0	1	1	0	0	2	2	0	0	G	50398	            Aidingimonas
0.0003	2	2	0	0	0	0	2	2	0	0	0	0	0	0	G	50400	            Candidatus Portiera
0.0003	2	2	0	0	0	0	2	2	0	0	0	0	0	0	G	50405	            Halospina
0.0003	2	2	0	0	1	1	1	1	0	0	0	0	0	0	G	50414	            Salinicola
0.0002	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50417	            uncultured
0.0002	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50406	            Halotalea
0.1852	1184	0	0	0	101	0	1066	0	6	0	7	0	4	0	F	50446	          Porticoccaceae
0.1846	1180	1180	0	0	101	101	1066	1066	3	3	7	7	3	3	G	50447	            C1-B045
0.0005	3	3	0	0	0	0	0	0	3	3	0	0	0	0	G	50449	            SAR92 clade
0.0002	1	1	0	0	0	0	0	0	0	0	0	0	1	1	G	50448	            Porticoccus
0.0202	129	0	0	0	24	0	101	0	1	0	1	0	2	0	F	50356	          Alcanivoracaceae1
0.0202	129	129	0	0	24	24	101	101	1	1	1	1	2	2	G	50357	            Alcanivorax
0.0092	59	0	0	0	10	0	48	0	0	0	1	0	0	0	F	50450	          Pseudohongiellaceae
0.0092	59	59	0	0	10	10	48	48	0	0	1	1	0	0	G	50452	            Pseudohongiella
0.0088	56	0	1	0	2	0	40	0	5	0	5	0	3	0	F	50360	          Cellvibrionaceae
0.0070	45	45	0	0	2	2	39	39	2	2	1	1	1	1	G	50374	            Pseudoteredinibacter
0.0009	6	6	0	0	0	0	1	1	3	3	1	1	1	1	G	50372	            Marinimicrobium
0.0006	4	4	1	1	0	0	0	0	0	0	3	3	0	0	G	50365	            Cellvibrio
0.0002	1	1	0	0	0	0	0	0	0	0	0	0	1	1	G	50379	            uncultured
