#Number of Samples: 6
#Total Number of Reads: 870188
#G1_1	G1_1/G1_1_1_bracken_genuses.kraken2_report
#G2_1	G2_1/G2_1_1_bracken_genuses.kraken2_report
#G3_1	G3_1/G3_1_1_bracken_genuses.kraken2_report
#G4_1	G4_1/G4_1_1_bracken_genuses.kraken2_report
#G5_1	G5_1/G5_1_1_bracken_genuses.kraken2_report
#G6_1	G6_1/G6_1_1_bracken_genuses.kraken2_report
#perc	tot_all	tot_lvl	G1_1_all	G1_1_lvl	G2_1_all	G2_1_lvl	G3_1_all	G3_1_lvl	G4_1_all	G4_1_lvl	G5_1_all	G5_1_lvl	G6_1_all	G6_1_lvl	lvl_type	taxid	name
0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	U	0	unclassified
100.2530	872390	0	153759	0	157500	0	98103	0	168883	0	148555	0	145590	0	R	1	root
85.9356	747801	0	127550	0	110586	0	94145	0	160132	0	126797	0	128591	0	D	3	  Bacteria
36.9155	321234	0	31408	0	16164	0	57794	0	94673	0	55924	0	65271	0	P	2375	    Proteobacteria
28.6281	249118	0	14236	0	9860	0	43244	0	81765	0	40469	0	59544	0	C	3303	      Gammaproteobacteria
13.7050	119259	0	7121	0	2258	0	23811	0	39253	0	22535	0	24281	0	O	3709	        Pseudomonadales
12.6203	109820	0	6878	0	1545	0	17880	0	38653	0	21926	0	22938	0	F	3718	          Pseudomonadaceae
12.5509	109216	109216	6805	6805	1503	1503	17792	17792	38381	38381	21864	21864	22871	22871	G	3723	            Pseudomonas
0.0607	528	528	69	69	40	40	86	86	261	261	43	43	29	29	G	14683	            Thiopseudomonas
0.0076	66	66	1	1	1	1	1	1	9	9	17	17	37	37	G	3721	            Azotobacter
0.0006	5	5	2	2	0	0	0	0	1	1	2	2	0	0	G	14682	            Oblitimonas
0.4235	3685	0	10	0	278	0	2903	0	77	0	78	0	339	0	F	50397	          Halomonadaceae
0.4201	3656	3656	10	10	277	277	2881	2881	77	77	76	76	335	335	G	50404	            Halomonas
0.0009	8	8	0	0	1	1	6	6	0	0	0	0	1	1	G	50414	            Salinicola
0.0005	4	4	0	0	0	0	1	1	0	0	0	0	3	3	G	50411	            Marinospirillum
0.0005	4	4	0	0	0	0	2	2	0	0	2	2	0	0	G	50398	            Aidingimonas
0.0003	3	3	0	0	0	0	3	3	0	0	0	0	0	0	G	50400	            Candidatus Portiera
0.0003	3	3	0	0	0	0	3	3	0	0	0	0	0	0	G	50405	            Halospina
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50417	            uncultured
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50402	            Chromohalobacter
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50403	            Cobetia
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50406	            Halotalea
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50412	            Modicisalibacter
0.3993	3475	0	178	0	199	0	1172	0	490	0	471	0	965	0	F	3710	          Moraxellaceae
0.3743	3257	3257	53	53	195	195	1156	1156	471	471	439	439	943	943	G	3711	            Acinetobacter
0.0141	123	123	97	97	0	0	6	6	7	7	11	11	2	2	G	3716	            Psychrobacter
0.0045	39	39	20	20	0	0	0	0	3	3	4	4	12	12	G	3713	            Enhydrobacter
0.0023	20	20	0	0	1	1	1	1	4	4	12	12	2	2	G	3717	            uncultured
0.0017	15	15	5	5	3	3	1	1	3	3	1	1	2	2	G	3714	            Moraxella
0.0008	7	7	0	0	0	0	3	3	1	1	2	2	1	1	G	3712	            Alkanindiges
0.0005	4	4	0	0	0	0	4	4	0	0	0	0	0	0	G	14680	            Fluviicoccus
0.0002	2	2	2	2	0	0	0	0	0	0	0	0	0	0	G	14681	            [Agitococcus] lubricus group
0.0001	1	1	0	0	0	0	0	0	0	0	0	0	1	1	G	26804	            Paraperlucidibaca
0.1952	1699	0	2	0	160	0	1509	0	6	0	13	0	9	0	F	50446	          Porticoccaceae
0.1944	1692	1692	2	2	158	158	1509	1509	3	3	13	13	7	7	G	50447	            C1-B045
0.0005	4	4	0	0	1	1	0	0	3	3	0	0	0	0	G	50449	            SAR92 clade
0.0001	1	1	0	0	0	0	0	0	0	0	0	0	1	1	G	50448	            Porticoccus
0.0190	165	0	0	0	29	0	131	0	1	0	1	0	3	0	F	50356	          Alcanivoracaceae1
0.0190	165	165	0	0	29	29	131	131	1	1	1	1	3	3	G	50357	            Alcanivorax
0.0122	106	0	27	0	7	0	34	0	9	0	15	0	14	0	F	50422	          Marinobacteraceae
0.0122	106	106	27	27	7	7	34	34	9	9	15	15	14	14	G	50423	            Marinobacter
0.0107	93	0	2	0	9	0	67	0	5	0	7	0	3	0	F	50360	          Cellvibrionaceae
0.0087	76	76	0	0	8	8	63	63	2	2	2	2	1	1	G	50374	            Pseudoteredinibacter
0.0008	7	7	2	2	0	0	1	1	0	0	4	4	0	0	G	50365	            Cellvibrio
0.0007	6	6	0	0	0	0	1	1	3	3	1	1	1	1	G	50372	            Marinimicrobium
0.0001	1	1	0	0	0	0	0	0	0	0	0	0	1	1	G	50379	            uncultured
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50376	            Simiduia
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	0	0	G	50361	            Aestuariicella
0.0090	78	0	0	0	14	0	62	0	0	0	1	0	1	0	F	50450	          Pseudohongiellaceae
0.0087	76	76	0	0	14	14	61	61	0	0	1	1	0	0	G	50452	            Pseudohongiella
0.0002	2	2	0	0	0	0	1	1	0	0	0	0	1	1	G	50451	            BIyi10
0.0044	38	0	11	0	7	0	18	0	1	0	1	0	0	0	F	50428	          Nitrincolaceae
0.0024	21	21	0	0	2	2	18	18	0	0	1	1	0	0	G	50436	            Nitrincola
0.0015	13	13	10	10	3	3	0	0	0	0	0	0	0	0	G	50432	            Marinobacterium
0.0001	1	1	0	0	0	0	0	0	1	1	0	0	0	0	G	50438	            Profundimonas
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	0	0	G	50433	            Motiliproteus
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	0	0	G	50434	            Neptuniibacter
0.0034	30	0	1	0	3	0	18	0	1	0	7	0	0	0	F	50387	          Halieaceae
0.0018	16	16	0	0	3	3	10	10	1	1	2	2	0	0	G	50394	            OM60(NOR5) clade
0.0008	7	7	0	0	0	0	3	3	0	0	4	4	0	0	G	50391	            Halioglobus
0.0005	4	4	0	0	0	0	4	4	0	0	0	0	0	0	G	50396	            Pseudohaliea
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	0	0	G	50390	            Haliea
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	0	0	G	50395	            Parahaliea
0.0024	21	0	3	0	1	0	0	0	3	0	9	0	5	0	F	50470	          Spongiibacteraceae
0.0020	17	17	2	2	1	1	0	0	3	3	7	7	4	4	G	50471	            BD1-7 clade
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	0	0	G	50478	            uncultured
0.0001	1	1	0	0	0	0	0	0	0	0	0	0	1	1	G	50472	            Dasania
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	0	0	G	50477	            Zhongshania
0.0010	9	0	0	0	0	0	6	0	1	0	2	0	0	0	F	50380	          Endozoicomonadaceae
0.0009	8	8	0	0	0	0	6	6	0	0	2	2	0	0	G	50381	            Endozoicomonas
0.0001	1	1	0	0	0	0	0	0	1	1	0	0	0	0	G	50382	            Kistimonas
0.0009	8	0	1	0	1	0	5	0	0	0	0	0	1	0	F	50426	          Microbulbiferaceae
0.0009	8	8	1	1	1	1	5	5	0	0	0	0	1	1	G	50427	            Microbulbifer
0.0006	5	0	4	0	0	0	0	0	0	0	1	0	0	0	F	50455	          Saccharospirillaceae
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	0	0	G	50463	            Oleispira
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	0	0	G	50461	            Oceanobacter
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	0	0	G	50464	            Reinekea
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	0	0	G	50465	            Saccharospirillum
0.0002	2	0	0	0	0	0	1	0	1	0	0	0	0	0	F	50424	          Marinomonadaceae
0.0002	2	2	0	0	0	0	1	1	1	1	0	0	0	0	G	50425	            Marinomonas
0.0001	1	0	0	0	0	0	0	0	1	0	0	0	0	0	F	50479	          Thioglobaceae
0.0001	1	1	0	0	0	0	0	0	1	1	0	0	0	0	G	50485	            SUP05 cluster
0.0001	1	0	0	0	0	0	1	0	0	0	0	0	0	0	F	50355	          Alcanivoracaceae
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50358	            Ketobacter
0.0001	1	0	1	0	0	0	0	0	0	0	0	0	0	0	F	50419	          Litoricolaceae
