#Number of Samples: 6
#Total Number of Reads: 177585
#G1_1	G1_1/G1_1_1_bracken_orders.kraken2_report
#G2_1	G2_1/G2_1_1_bracken_orders.kraken2_report
#G3_1	G3_1/G3_1_1_bracken_orders.kraken2_report
#G4_1	G4_1/G4_1_1_bracken_orders.kraken2_report
#G5_1	G5_1/G5_1_1_bracken_orders.kraken2_report
#G6_1	G6_1/G6_1_1_bracken_orders.kraken2_report
#perc	tot_all	tot_lvl	G1_1_all	G1_1_lvl	G2_1_all	G2_1_lvl	G3_1_all	G3_1_lvl	G4_1_all	G4_1_lvl	G5_1_all	G5_1_lvl	G6_1_all	G6_1_lvl	lvl_type	taxid	name
0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	U	0	unclassified
605.3101	1074940	0	189712	0	191349	0	152206	0	182513	0	178410	0	180750	0	R	1	root
534.9393	949972	0	163373	0	144351	0	148218	0	173708	0	156589	0	163733	0	D	3	  Bacteria
185.8727	330082	0	31666	0	17887	0	60844	0	97062	0	57827	0	64796	0	P	2375	    Proteobacteria
139.8451	248344	0	14327	0	9873	0	43266	0	82466	0	40812	0	57600	0	C	3303	      Gammaproteobacteria
65.3124	115985	0	6856	0	2231	0	23768	0	37762	0	22379	0	22989	0	O	3709	        Pseudomonadales
57.6158	102317	0	6410	0	3381	0	16548	0	37354	0	9774	0	28850	0	O	46187	        Burkholderiales
12.6773	22513	0	148	0	3078	0	1639	0	5380	0	7549	0	4719	0	O	46449	        Enterobacterales
2.3014	4087	0	295	0	756	0	705	0	1181	0	521	0	629	0	O	3786	        Xanthomonadales
1.2417	2205	0	426	0	333	0	420	0	542	0	305	0	179	0	O	3535	        Gammaproteobacteria Incertae Sedis
0.1340	238	0	3	0	18	0	28	0	88	0	56	0	45	0	O	26825	        Steroidobacterales
0.1047	186	0	31	0	22	0	25	0	48	0	42	0	18	0	O	26616	        Diplorickettsiales
0.0693	123	0	2	0	11	0	96	0	3	0	9	0	2	0	O	26732	        Nitrosococcales
0.0642	114	0	22	0	5	0	15	0	25	0	25	0	22	0	O	3552	        Legionellales
0.0315	56	56	1	1	0	0	0	0	4	4	40	40	11	11	O	26324	        B2M28
0.0298	53	0	22	0	16	0	3	0	3	0	3	0	6	0	O	26326	        Beggiatoales
0.0231	41	0	9	0	5	0	1	0	3	0	18	0	5	0	O	26612	        Coxiellales
0.0214	38	0	1	0	0	0	0	0	7	0	5	0	25	0	O	3409	        Cardiobacteriales
0.0203	36	0	1	0	1	0	0	0	7	0	9	0	18	0	O	26624	        Ectothiorhodospirales
0.0169	30	0	18	0	1	0	0	0	3	0	0	0	8	0	O	3728	        Salinisphaerales
0.0141	25	0	0	0	1	0	0	0	3	0	11	0	10	0	O	3563	        Methylococcales
0.0130	23	23	23	23	0	0	0	0	0	0	0	0	0	0	O	26863	        WD260
0.0101	18	18	0	0	0	0	0	0	10	10	8	8	0	0	O	26660	        Ga0077536
0.0101	18	18	12	12	0	0	2	2	1	1	0	0	3	3	O	26806	        R7C24
0.0096	17	17	0	0	0	0	0	0	2	2	2	2	13	13	O	3404	        BD72BR169
0.0096	17	17	14	14	0	0	0	0	0	0	2	2	1	1	O	26683	        JTB23
0.0090	16	16	2	2	0	0	3	3	6	6	5	5	0	0	O	14692	        uncultured
0.0090	16	16	10	10	0	0	0	0	3	3	1	1	2	2	O	26796	        PLTA13
0.0079	14	14	0	0	0	0	0	0	4	4	1	1	9	9	O	26862	        UBA4486
0.0073	13	13	1	1	0	0	0	0	0	0	4	4	8	8	O	26622	        EPR3968-O8a-Bc78
0.0068	12	12	0	0	5	5	1	1	3	3	2	2	1	1	O	26682	        JG36-TzT-191
0.0062	11	0	5	0	1	0	2	0	0	0	3	0	0	0	O	3415	        Chromatiales
0.0056	10	0	0	0	0	0	0	0	0	0	2	0	8	0	O	26653	        Francisellales
0.0045	8	8	0	0	1	1	0	0	2	2	5	5	0	0	O	3467	        EC3
0.0039	7	0	0	0	0	0	0	0	1	0	6	0	0	0	O	11508	        Arenicellales
0.0039	7	7	0	0	0	0	0	0	2	2	3	3	2	2	O	3546	        HOC36
0.0039	7	0	0	0	0	0	1	0	3	0	3	0	0	0	O	3735	        Thiotrichales
0.0039	7	0	1	0	0	0	4	0	1	0	0	0	1	0	O	26799	        Piscirickettsiales
0.0034	6	0	1	0	0	0	0	0	1	0	4	0	0	0	O	3307	        Acidithiobacillales
0.0023	4	4	0	0	0	0	0	0	0	0	2	2	2	2	O	26861	        UBA10353 marine group
0.0023	4	0	0	0	0	0	0	0	0	0	3	0	1	0	O	26715	        Nitrococcales
0.0023	4	4	0	0	0	0	0	0	1	1	3	3	0	0	O	26594	        CHAB-XI-27
0.0023	4	4	0	0	0	0	0	0	1	1	1	1	2	2	O	3785	        WN-HWB-116
0.0023	4	0	1	0	0	0	0	0	3	0	0	0	0	0	O	26668	        Halothiobacillales
0.0017	3	3	0	0	0	0	0	0	0	0	2	2	1	1	O	26809	        SBYH-1030
0.0017	3	0	1	0	0	0	1	0	1	0	0	0	0	0	O	26843	        Thiomicrospirales
0.0017	3	3	3	3	0	0	0	0	0	0	0	0	0	0	O	3562	        MD2904-B13
0.0011	2	2	0	0	2	2	0	0	0	0	0	0	0	0	O	3304	        1013-28-CG33
0.0011	2	0	1	0	0	0	0	0	0	0	0	0	1	0	O	14615	        Acidiferrobacterales
0.0006	1	1	0	0	0	0	0	0	1	1	0	0	0	0	O	26681	        JG36-GS-52
0.0006	1	1	0	0	0	0	0	0	1	1	0	0	0	0	O	26811	        SZB50
0.0006	1	1	0	0	0	0	0	0	1	1	0	0	0	0	O	14691	        sediment-surface35
0.0006	1	1	0	0	0	0	1	1	0	0	0	0	0	0	O	26807	        S1-3-65
45.9814	81656	0	17337	0	8010	0	17576	0	14565	0	17011	0	7157	0	C	2379	      Alphaproteobacteria
23.6326	41968	0	7802	0	5215	0	9987	0	11095	0	3547	0	4322	0	O	2421	        Rhizobiales
10.0538	17854	0	5844	0	255	0	566	0	621	0	10173	0	395	0	O	2823	        Sphingomonadales
3.4153	6065	0	88	0	1628	0	2829	0	644	0	418	0	458	0	O	2761	        Rickettsiales
2.3758	4219	0	29	0	257	0	3056	0	118	0	412	0	347	0	O	2557	        Rhodobacterales
1.9658	3491	0	731	0	328	0	634	0	629	0	795	0	374	0	O	2386	        Caulobacterales
1.8571	3298	0	2537	0	121	0	61	0	168	0	238	0	173	0	O	25900	        Acetobacterales
1.5328	2722	0	0	0	0	0	0	0	871	0	1107	0	744	0	O	2808	        SAR11 clade
0.2382	423	0	58	0	14	0	27	0	113	0	110	0	101	0	O	25946	        Azospirillales
0.1774	315	0	1	0	51	0	87	0	89	0	49	0	38	0	O	25975	        Dongiales
0.1498	266	0	74	0	32	0	23	0	43	0	34	0	60	0	O	2667	        Rhodospirillales
0.1081	192	0	44	0	37	0	30	0	44	0	18	0	19	0	O	26003	        Micropepsales
0.0895	159	0	10	0	17	0	116	0	3	0	4	0	9	0	O	46132	        Defluviicoccales
0.0833	148	0	8	0	1	0	7	0	65	0	40	0	27	0	O	26009	        Paracaedibacterales
0.0580	103	103	4	4	8	8	32	32	17	17	10	10	32	32	O	26269	        uncultured
0.0417	74	0	6	0	10	0	16	0	13	0	18	0	11	0	O	26035	        Reyranellales
0.0383	68	0	0	0	4	0	54	0	2	0	4	0	4	0	O	2382	        Alphaproteobacteria Incertae Sedis
0.0349	62	0	16	0	10	0	15	0	4	0	10	0	7	0	O	25978	        Elsterales
0.0265	47	0	28	0	1	0	11	0	1	0	0	0	6	0	O	25998	        Micavibrionales
0.0186	33	0	2	0	8	0	3	0	7	0	7	0	6	0	O	25986	        Holosporales
0.0141	25	0	18	0	0	0	4	0	1	0	2	0	0	0	O	26262	        Tistrellales
0.0135	24	0	17	0	2	0	0	0	0	0	2	0	3	0	O	46142	        Kiloniellales
0.0068	12	0	0	0	3	0	0	0	0	0	2	0	7	0	O	26252	        Thalassobaculales
0.0062	11	0	9	0	0	0	0	0	1	0	0	0	1	0	O	25960	        Caedibacterales
0.0045	8	8	3	3	0	0	2	2	1	1	1	1	1	1	O	2409	        Dstr-E11
0.0039	7	0	0	0	0	0	0	0	7	0	0	0	0	0	O	46136	        Ferrovibrionales
0.0039	7	0	0	0	0	0	4	0	1	0	0	0	2	0	O	26016	        Parvibaculales
0.0028	5	0	1	0	0	0	2	0	0	0	1	0	1	0	O	2411	        Kordiimonadales
0.0017	3	0	0	0	0	0	0	0	0	0	3	0	0	0	O	46182	        Zavarziniales
0.0017	3	0	1	0	0	0	1	0	0	0	1	0	0	0	O	26028	        Puniceispirillales
0.0011	2	2	0	0	0	0	2	2	0	0	0	0	0	0	O	46126	        AT-s3-44
0.0439	78	0	2	0	3	0	1	0	30	0	3	0	39	0	C	26883	      Magnetococcia
0.0439	78	0	2	0	3	0	1	0	30	0	3	0	39	0	O	26884	        Magnetococcales
178.8946	317690	0	65912	0	77595	0	59569	0	23829	0	43571	0	47214	0	P	1672	    Firmicutes
111.0730	197249	0	52599	0	60086	0	20283	0	13110	0	36295	0	14876	0	C	1859	      Clostridia
43.9012	77962	77962	27438	27438	20727	20727	2945	2945	4425	4425	18177	18177	4250	4250	O	45332	        Clostridia vadinBB60 group
