#Number of Samples: 2
#Total Number of Reads: 639668
#S1	/Users/jjpc/PiconCossio/UNI-SEQ/16S/G1_1/G1_1_1_G1_1_2_bracken_genuses.kraken2_report
#S2	/Users/jjpc/PiconCossio/UNI-SEQ/16S/G2_1/G2_1_1_G2_1_2_bracken_genuses.kraken2_report
#perc	tot_all	tot_lvl	S1_all	S1_lvl	S2_all	S2_lvl	lvl_type	taxid	name
0.0000	0	0	0	0	0	0	U	0	unclassified
100.1888	640876	0	314064	0	326812	0	R	1	root
77.3417	494730	0	261690	0	233040	0	D	3	  Bacteria
31.9111	204125	0	80822	0	123303	0	P	1672	    Firmicutes
22.1345	141587	0	53506	0	88081	0	C	1859	      Clostridia
11.4453	73212	0	23710	0	49502	0	O	45370	        Eubacteriales
11.1327	71212	0	22563	0	48649	0	F	45376	          Eubacteriaceae
10.7196	68570	68570	21528	21528	47042	47042	G	45380	            uncultured
0.3241	2073	2073	832	832	1241	1241	G	45378	            Eubacterium
0.0655	419	419	125	125	294	294	G	45379	            Pseudoramibacter
0.0228	146	146	76	76	70	70	G	45377	            Acetobacterium
0.3088	1975	0	1140	0	835	0	F	45374	          Anaerofustaceae
0.3088	1975	1975	1140	1140	835	835	G	45375	            Anaerofustis
0.0017	11	0	4	0	7	0	F	45371	          Alkalibacteraceae
0.0017	11	11	4	4	7	7	G	45372	            Alkalibacter
0.0013	8	0	2	0	6	0	F	45381	          Garciellaceae
0.0013	8	8	2	2	6	6	G	45383	            Irregularibacter
0.0008	5	5	1	1	4	4	G	45373	          Alkalibaculum
4.7265	30234	0	11760	0	18474	0	O	45325	        Christensenellales
4.7265	30234	0	11760	0	18474	0	F	45326	          Christensenellaceae
4.6996	30062	30062	11668	11668	18394	18394	G	45329	            Christensenellaceae R-7 group
0.0256	164	164	88	88	76	76	G	45330	            uncultured
0.0008	5	5	3	3	2	2	G	45328	            Christensenella
4.0552	25940	0	12021	0	13919	0	O	45570	        Peptostreptococcales-Tissierellales
3.4360	21979	0	10678	0	11301	0	F	45640	          Sedimentibacteraceae
3.4360	21979	21979	10678	10678	11301	11301	G	45641	            Sedimentibacter
0.4108	2628	0	753	0	1875	0	F	50191	          Family XI
0.3338	2135	2135	472	472	1663	1663	G	50207	            Tissierella
0.0472	302	302	164	164	138	138	G	50208	            W5053
0.0052	33	33	20	20	13	13	G	50203	            Peptoniphilus
0.0044	28	28	19	19	9	9	G	50196	            Fenollaria
0.0038	24	24	17	17	7	7	G	50192	            Anaerococcus
0.0030	19	19	9	9	10	10	G	50209	            uncultured
0.0030	19	19	13	13	6	6	G	50197	            Finegoldia
0.0028	18	18	8	8	10	10	G	50195	            Ezakiella
0.0016	10	10	7	7	3	3	G	50205	            Sporanaerobacter
0.0014	9	9	5	5	4	4	G	50198	            Gallicola
0.0009	6	6	5	5	1	1	G	50199	            Helcococcus
0.0009	6	6	5	5	1	1	G	50206	            Tepidimicrobium
0.0005	3	3	1	1	2	2	G	50204	            Soehngenia
0.0005	3	3	2	2	1	1	G	50202	            Parvimonas
0.0002	1	1	0	0	1	1	G	50193	            Anaerosalibacter
0.0002	1	1	0	0	1	1	G	50200	            Keratinibaculum
0.0002	1	1	1	1	0	0	G	50201	            Murdochiella
0.1535	982	0	412	0	570	0	F	45579	          Anaerovoracaceae
0.0991	634	634	284	284	350	350	G	45581	            Anaerovorax
0.0170	109	109	27	27	82	82	G	45589	            uncultured
0.0095	61	61	30	30	31	31	G	45587	            [Eubacterium] nodatum group
0.0084	54	54	26	26	28	28	G	45586	            [Eubacterium] brachy group
0.0070	45	45	11	11	34	34	G	45582	            Family XIII AD3011 group
0.0059	38	38	17	17	21	21	G	45583	            Family XIII UCG-001
0.0042	27	27	11	11	16	16	G	45585	            S5-A14a
0.0009	6	6	3	3	3	3	G	45580	            Amnipila
0.0002	1	1	0	0	1	1	G	45584	            Mogibacterium
0.0364	233	0	123	0	110	0	F	45618	          Peptostreptococcaceae
0.0122	78	78	44	44	34	34	G	45631	            Romboutsia
0.0047	30	30	16	16	14	14	G	45621	            Clostridioides
0.0044	28	28	20	20	8	8	G	45634	            Terrisporobacter
0.0028	18	18	11	11	7	7	G	45628	            Peptoclostridium
0.0023	15	15	2	2	13	13	G	45626	            Paraclostridium
0.0022	14	14	8	8	6	6	G	45629	            Peptostreptococcus
0.0019	12	12	10	10	2	2	G	45624	            Intestinibacter
0.0016	10	10	3	3	7	7	G	45625	            Paeniclostridium
0.0014	9	9	0	0	9	9	G	45630	            Proteocatella
0.0008	5	5	2	2	3	3	G	45637	            uncultured
0.0005	3	3	2	2	1	1	G	45633	            Tepidibacter
0.0002	1	1	0	0	1	1	G	45636	            [Eubacterium] yurii group
0.0002	1	1	1	1	0	0	G	45623	            Filifactor
0.0077	49	0	20	0	29	0	F	45604	          Fusibacteraceae
0.0077	49	49	20	20	29	29	G	45605	            Fusibacter
0.0028	18	18	12	12	6	6	G	45573	          Alkaliphilus
0.0016	10	10	3	3	7	7	G	45597	          Clostridiisalibacter
0.0014	9	9	4	4	5	5	G	45609	          Guggenheimella
0.0008	5	5	3	3	2	2	G	45659	          uncultured
0.0006	4	4	2	2	2	2	G	45642	          Serpentinicella
0.0005	3	3	0	0	3	3	G	45608	          Gottschalkia
0.0005	3	0	0	0	3	0	F	45594	          Caminicellaceae
0.0005	3	3	0	0	3	3	G	45596	            Paramaledivibacter
0.0005	3	0	3	0	0	0	F	45599	          Dethiosulfatibacteraceae
0.0005	3	3	3	3	0	0	G	45600	            Dethiosulfatibacter
0.0003	2	2	1	1	1	1	G	45611	          JTB215
0.0003	2	2	1	1	1	1	G	45591	          Brassicibacter
0.0002	1	1	1	1	0	0	G	45590	          Anoxynatronum
0.9915	6342	0	3047	0	3295	0	O	45508	        Oscillospirales
0.4255	2722	0	1179	0	1543	0	F	45536	          Ruminococcaceae
0.3095	1980	1980	771	771	1209	1209	G	45557	            uncultured
0.0245	157	157	82	82	75	75	G	45551	            Pygmaiobacter
0.0238	152	152	91	91	61	61	G	45552	            Ruminococcus
0.0159	102	102	55	55	47	47	G	45542	            Caproiciproducens
0.0145	93	93	52	52	41	41	G	45544	            Faecalibacterium
0.0125	80	80	49	49	31	31	G	45547	            Incertae Sedis
0.0120	77	77	39	39	38	38	G	45541	            Candidatus Soleaferrea
0.0033	21	21	11	11	10	10	G	45553	            Subdoligranulum
0.0023	15	15	6	6	9	9	G	45537	            Anaerofilum
0.0020	13	13	6	6	7	7	G	45540	            CAG-352
0.0011	7	7	4	4	3	3	G	45549	            Paludicola
0.0008	5	5	1	1	4	4	G	45554	            UBA1819
0.0005	3	3	3	3	0	0	G	45546	            Harryflintia
0.0002	1	1	0	0	1	1	G	45538	            Anaerotruncus
0.0002	1	1	1	1	0	0	G	45545	            Fournierella
0.0002	1	1	1	1	0	0	G	45555	            UCG-001
0.3228	2065	0	1162	0	903	0	F	50175	          Hungateiclostridiaceae
0.1748	1118	1118	589	589	529	529	G	50180	            Fastidiosipila
0.0396	253	253	175	175	78	78	G	50181	            HN-HF0106
0.0389	249	249	134	134	115	115	G	50190	            uncultured
0.0347	222	222	136	136	86	86	G	50186	            Ruminiclostridium
0.0152	97	97	70	70	27	27	G	50189	            UCG-012
0.0089	57	57	27	27	30	30	G	50187	            Saccharofermentans
0.0041	26	26	7	7	19	19	G	50179	            Ercella
0.0028	18	18	10	10	8	8	G	50184	            Pseudobacteroides
0.0009	6	6	1	1	5	5	G	50176	            Acetivibrio
0.0008	5	5	4	4	1	1	G	50183	            Mageeibacillus
0.0005	3	3	2	2	1	1	G	50182	            Hungateiclostridium
0.0002	1	1	1	1	0	0	G	50185	            Pseudoclostridium
0.0002	1	1	1	1	0	0	G	50188	            Thermoclostridium
0.2165	1385	0	634	0	751	0	F	45520	          Oscillospiraceae
0.0833	533	533	232	232	301	301	G	45524	            NK4A214 group
0.0641	410	410	170	170	240	240	G	45535	            uncultured
0.0214	137	137	66	66	71	71	G	45521	            Colidextribacter
0.0189	121	121	74	74	47	47	G	45532	            UCG-005
0.0089	57	57	29	29	28	28	G	45527	            Papillibacter
0.0056	36	36	15	15	21	21	G	45529	            Sporobacter
