#Number of Samples: 6
#Total Number of Reads: 1837632
#G1_1	utils/G1_1_1_G1_1_2_bracken_genuses.kraken2_report
#G2_1	utils/G2_1_1_G2_1_2_bracken_genuses.kraken2_report
#G3_1	utils/G3_1_1_G3_1_2_bracken_genuses.kraken2_report
#G4_1	utils/G4_1_1_G4_1_2_bracken_genuses.kraken2_report
#G5_1	utils/G5_1_1_G5_1_2_bracken_genuses.kraken2_report
#G6_1	utils/G6_1_1_G6_1_2_bracken_genuses.kraken2_report
#perc	tot_all	tot_lvl	G1_1_all	G1_1_lvl	G2_1_all	G2_1_lvl	G3_1_all	G3_1_lvl	G4_1_all	G4_1_lvl	G5_1_all	G5_1_lvl	G6_1_all	G6_1_lvl	lvl_type	taxid	name
0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	U	0	unclassified
100.1948	1841211	0	314064	0	326812	0	231626	0	341953	0	308615	0	318141	0	R	1	root
86.6385	1592096	0	261690	0	233040	0	223694	0	324432	0	265100	0	284140	0	D	3	  Bacteria
35.1509	645944	0	62650	0	30091	0	114312	0	189540	0	110498	0	138853	0	P	2375	    Proteobacteria
28.3632	521211	0	29902	0	20580	0	92022	0	169623	0	79585	0	129499	0	C	3303	      Gammaproteobacteria
13.9788	256878	0	15040	0	5629	0	52522	0	83887	0	45806	0	53994	0	O	3709	        Pseudomonadales
12.8876	236826	0	14516	0	3852	0	40019	0	82626	0	44505	0	51308	0	F	3718	          Pseudomonadaceae
11.3339	208276	208276	11107	11107	3681	3681	39821	39821	60666	60666	42412	42412	50589	50589	G	3723	            Pseudomonas
1.5269	28058	28058	3392	3392	166	166	189	189	21853	21853	1817	1817	641	641	G	14683	            Thiopseudomonas
0.0245	451	451	9	9	4	4	6	6	93	93	265	265	74	74	G	3721	            Azotobacter
0.0017	32	32	6	6	0	0	2	2	12	12	9	9	3	3	G	14682	            Oblitimonas
0.3778	6943	0	337	0	484	0	2561	0	832	0	825	0	1904	0	F	3710	          Moraxellaceae
0.3526	6479	6479	95	95	479	479	2532	2532	778	778	750	750	1845	1845	G	3711	            Acinetobacter
0.0140	257	257	188	188	1	1	11	11	24	24	26	26	7	7	G	3716	            Psychrobacter
0.0041	75	75	29	29	0	0	0	0	8	8	9	9	29	29	G	3713	            Enhydrobacter
0.0027	49	49	0	0	0	0	1	1	9	9	31	31	8	8	G	3717	            uncultured
0.0025	46	46	22	22	3	3	6	6	7	7	2	2	6	6	G	3714	            Moraxella
0.0008	15	15	0	0	0	0	3	3	4	4	3	3	5	5	G	3712	            Alkanindiges
0.0003	6	6	0	0	0	0	5	5	0	0	1	1	0	0	G	14680	            Fluviicoccus
0.0001	1	1	0	0	0	0	0	0	0	0	0	0	1	1	G	26804	            Paraperlucidibaca
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	0	0	G	14681	            [Agitococcus] lubricus group
