#Number of Samples: 6
#Total Number of Reads: 963703
#G1_1	G1_1/G1_1_1_bracken_genuses.kraken2_report
#G2_1	G2_1/G2_1_1_bracken_genuses.kraken2_report
#G3_1	G3_1/G3_1_1_bracken_genuses.kraken2_report
#G4_1	G4_1/G4_1_1_bracken_genuses.kraken2_report
#G5_1	G5_1/G5_1_1_bracken_genuses.kraken2_report
#G6_1	G6_1/G6_1_1_bracken_genuses.kraken2_report
#perc	tot_all	tot_lvl	G1_1_all	G1_1_lvl	G2_1_all	G2_1_lvl	G3_1_all	G3_1_lvl	G4_1_all	G4_1_lvl	G5_1_all	G5_1_lvl	G6_1_all	G6_1_lvl	lvl_type	taxid	name
0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	U	0	unclassified
100.2835	966435	0	184520	0	170672	0	107933	0	181242	0	161928	0	160140	0	R	1	root
85.7623	826494	0	152364	0	119282	0	103599	0	171664	0	138117	0	141468	0	D	3	  Bacteria
36.1911	348775	0	37329	0	17259	0	61620	0	100974	0	60716	0	70877	0	P	2375	    Proteobacteria
27.9912	269752	0	17079	0	10522	0	46056	0	87420	0	43909	0	64766	0	C	3303	      Gammaproteobacteria
13.6115	131174	0	8804	0	2451	0	25534	0	42715	0	24818	0	26852	0	O	3709	        Pseudomonadales
12.5521	120965	0	8471	0	1683	0	19263	0	42031	0	24133	0	25384	0	F	3718	          Pseudomonadaceae
12.4251	119741	119741	8197	8197	1639	1639	19170	19170	41419	41419	24025	24025	25291	25291	G	3723	            Pseudomonas
0.1154	1112	1112	265	265	42	42	91	91	582	582	80	80	52	52	G	14683	            Thiopseudomonas
0.0094	91	91	2	2	2	2	1	1	23	23	24	24	39	39	G	3721	            Azotobacter
0.0017	16	16	5	5	0	0	0	0	6	6	3	3	2	2	G	14682	            Oblitimonas
0.4112	3963	0	38	0	299	0	3085	0	88	0	88	0	365	0	F	50397	          Halomonadaceae
0.4061	3914	3914	35	35	297	297	3050	3050	87	87	84	84	361	361	G	50404	            Halomonas
0.0013	13	13	0	0	0	0	13	13	0	0	0	0	0	0	G	50405	            Halospina
0.0009	9	9	0	0	2	2	6	6	0	0	0	0	1	1	G	50414	            Salinicola
0.0004	4	4	0	0	0	0	1	1	0	0	0	0	3	3	G	50411	            Marinospirillum
0.0004	4	4	0	0	0	0	2	2	0	0	2	2	0	0	G	50398	            Aidingimonas
0.0003	3	3	0	0	0	0	3	3	0	0	0	0	0	0	G	50400	            Candidatus Portiera
0.0003	3	3	1	1	0	0	2	2	0	0	0	0	0	0	G	50402	            Chromohalobacter
0.0002	2	2	0	0	0	0	2	2	0	0	0	0	0	0	G	50417	            uncultured
0.0002	2	2	1	1	0	0	0	0	0	0	1	1	0	0	G	50399	            Candidatus Evansia
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	0	0	G	50409	            Kushneria
0.0001	1	1	0	0	0	0	0	0	1	1	0	0	0	0	G	50413	            Salicola
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50401	            Carnimonas
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50403	            Cobetia
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50406	            Halotalea
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50412	            Modicisalibacter
0.3903	3761	0	209	0	221	0	1231	0	530	0	518	0	1052	0	F	3710	          Moraxellaceae
0.3603	3472	3472	60	60	218	218	1210	1210	500	500	472	472	1012	1012	G	3711	            Acinetobacter
0.0144	139	139	108	108	0	0	6	6	9	9	14	14	2	2	G	3716	            Psychrobacter
0.0060	58	58	24	24	0	0	0	0	6	6	6	6	22	22	G	3713	            Enhydrobacter
0.0034	33	33	0	0	1	1	3	3	6	6	18	18	5	5	G	3717	            uncultured
0.0032	31	31	14	14	2	2	3	3	3	3	3	3	6	6	G	3714	            Moraxella
0.0011	11	11	0	0	0	0	3	3	3	3	3	3	2	2	G	3712	            Alkanindiges
0.0004	4	4	0	0	0	0	4	4	0	0	0	0	0	0	G	14680	            Fluviicoccus
0.0001	1	1	0	0	0	0	0	0	0	0	0	0	1	1	G	26804	            Paraperlucidibaca
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	0	0	G	14681	            [Agitococcus] lubricus group
0.1753	1689	0	4	0	156	0	1488	0	14	0	18	0	9	0	F	50446	          Porticoccaceae
0.1738	1675	1675	4	4	155	155	1483	1483	7	7	18	18	8	8	G	50447	            C1-B045
0.0009	9	9	0	0	1	1	3	3	5	5	0	0	0	0	G	50449	            SAR92 clade
0.0003	3	3	0	0	0	0	1	1	1	1	0	0	1	1	G	50448	            Porticoccus
0.0196	189	0	7	0	19	0	142	0	6	0	8	0	7	0	F	50360	          Cellvibrionaceae
0.0164	158	158	0	0	15	15	137	137	2	2	2	2	2	2	G	50374	            Pseudoteredinibacter
0.0013	13	13	4	4	0	0	1	1	1	1	5	5	2	2	G	50365	            Cellvibrio
0.0009	9	9	2	2	1	1	1	1	3	3	1	1	1	1	G	50372	            Marinimicrobium
0.0002	2	2	0	0	1	1	0	0	0	0	0	0	1	1	G	50379	            uncultured
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50376	            Simiduia
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	0	0	G	50367	            Gilvimarinus
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	0	0	G	50361	            Aestuariicella
0.0195	188	0	1	0	33	0	145	0	3	0	1	0	5	0	F	50356	          Alcanivoracaceae1
